id,sttl,ct_state_ttl,state,dload,ct_dst_sport_ltm,dmean,rate,swin,dwin,ct_src_dport_ltm,ct_dst_src_ltm,stcpb,dtcpb,ct_src_ltm,ct_dst_ltm,ct_srv_src,ct_srv_dst,is_sm_ips_ports,sload
-0.8204679,0.7709258,0.7949168,0.8229187,-0.28904262,-0.7677759,-0.49026686,-0.006134492,-1.0,-1.0,-0.73627025,-0.85328084,-0.77056533,-0.7300835,-0.86262435,-0.8409732,-0.88481456,-0.85260296,-0.14398427,-0.036137104
0.08487645,0.64035195,-0.32235402,-0.40720344,-0.2684334,-0.55431175,-0.23717904,-0.6060112,0.99999994,1.0,-0.52840066,-0.69223595,0.4902445,0.48228472,-0.618101,-0.61427104,-0.5887334,-0.64557284,-0.117881335,-0.3587222
-0.6565413,0.75905466,0.770428,0.8069716,-0.286109,-0.47566006,-0.51377904,0.11571425,-1.0,-1.0,-0.50318366,-0.42377135,-0.75336176,-0.75403696,-0.7030533,-0.6296431,-0.5646005,-0.5208309,-0.14252803,0.14384954
-0.05142768,0.70911556,-0.34647757,-0.40953916,-0.25348702,-0.53942376,-0.3124936,-0.573572,0.99999994,1.0,-0.48729786,-0.592956,0.47912633,-0.2143862,-0.5479192,-0.61770266,-0.49661517,-0.6514957,-0.11388061,-0.37506476
0.8886063,-0.5001603,-0.28561327,-0.42440692,-0.25274107,-0.5492216,-0.2659682,-0.543284,0.99999994,1.0,-0.5133811,-0.7176312,0.4384499,0.5418802,-0.7256826,-0.63698816,-0.68097913,-0.75183535,-0.098758146,-0.4015912
-0.9040269,0.83516765,0.7495722,0.7483157,-0.28720027,-0.24617228,-0.46005762,0.999626,-1.0,-1.0,-0.41611844,-0.116608754,-0.74977076,-0.7635952,-0.61404985,-0.5654983,-0.30985427,-0.21356958,-0.124991685,0.9874209
0.97189546,0.75818837,0.7994119,0.8158706,-0.27632797,0.96758294,-0.49203655,0.094272405,-1.0,-1.0,0.7782532,0.044349555,-0.7443019,-0.74880975,0.6353973,0.7319525,-0.18063568,-0.08206308,-0.16426858,-0.07796002
0.25386333,0.8666103,-0.32566315,-0.36102036,-0.30816048,-0.45415184,-0.28464457,-0.5500067,0.99999994,1.0,-0.47306183,-0.39118415,0.9522803,0.99905795,-0.5171922,-0.51929593,-0.433774,-0.35378015,-0.09053334,-0.44104993
-0.61797005,0.840185,0.80458117,0.8084934,-0.29304898,-0.09098236,-0.49593294,0.98455155,-1.0,-1.0,-0.21652575,-0.0034030366,-0.7747787,-0.7754368,-0.05090288,-0.36628395,-0.09716287,-0.065553054,-0.13423426,0.89170015
0.45496652,0.82047063,0.7930852,0.8418724,-0.2859999,-0.28280526,-0.501282,0.57010925,-1.0,-1.0,-0.3600404,-0.21346141,-0.76139724,-0.7550712,-0.530506,-0.5235949,-0.41938797,-0.36804524,-0.13299084,0.19485115
-0.4289327,0.7650197,0.84271,0.8260722,-0.28444627,-0.48550698,-0.54449266,-0.06366308,-1.0,-1.0,-0.48239022,-0.58719563,-0.7169161,-0.78581387,-0.63323027,-0.5885613,-0.65726084,-0.60882056,-0.1424195,-0.04710456
0.7275893,0.7833958,0.7983834,0.8182322,-0.2985775,-0.4616448,-0.48656097,0.32509384,-1.0,-1.0,-0.46713918,-0.5430755,-0.754177,-0.74999166,-0.57113504,-0.55216277,-0.67068946,-0.6158687,-0.14660902,0.104855224
0.8975677,-1.0,-0.41478252,-0.33670434,-0.2596512,-0.6253823,0.90019226,-0.63671315,0.99999994,1.0,-0.58498096,-0.7341245,0.98405695,0.9995992,-0.9087591,-0.61513495,-0.5950874,-0.26117903,-0.08903016,-0.41744047
-0.031278655,0.6364203,0.2207029,0.16209416,-0.26401383,-0.37811756,-0.36278236,-0.47840938,0.22570407,0.24161302,-0.340731,-0.26421174,-0.6068908,-0.45405838,-0.55709326,-0.40843168,-0.28137136,-0.2584953,-0.13399778,-0.317018
-0.8525771,0.7851127,0.8265743,0.8576056,-0.27611607,-0.0621734,-0.5682826,0.30003658,-1.0,-1.0,-0.12930785,0.44719172,-0.7814928,-0.7589176,-0.35230446,-0.17220539,0.29941416,0.31390554,-0.14890835,0.13218546
-0.925143,0.8017536,0.7891235,0.7912261,-0.30323252,-0.46032324,-0.48668608,0.9834095,-1.0,-1.0,-0.54536206,-0.6037458,-0.74915886,-0.77348566,-0.6969577,-0.69669396,-0.7131847,-0.66479963,-0.1377035,0.907342
-0.7002016,0.7409554,-0.29701144,-0.46906215,-0.28032014,-0.54236346,-0.27926788,-0.62921053,0.99999946,0.9999999,-0.50387233,-0.64261097,0.48088947,-0.32842034,-0.65404135,-0.5293621,-0.5343367,-0.6056577,-0.12332484,-0.3611611
0.99551326,0.7430559,0.7693456,0.79507893,-0.2505593,0.83214974,-0.4953791,0.5349875,-1.0,-1.0,0.48509026,-0.38982043,-0.72986746,-0.7278383,0.268548,0.3738959,-0.49654683,-0.42577973,-0.14906274,-0.015433388
0.97995454,-0.7176153,-0.15006103,-0.3797812,-0.24877672,-0.6952491,0.8811412,-0.5685096,0.99999994,1.0,-0.5009571,-0.6745463,0.68099684,0.9981169,0.79284877,-0.5270129,-0.31272063,-0.4245965,-0.16071367,-0.22631346
0.23764397,0.79462403,0.74509513,0.8067307,-0.28289878,-0.4649433,-0.49951905,0.41718784,-1.0,-1.0,-0.51512486,-0.5813371,-0.732091,-0.7414656,-0.6771581,-0.65855217,-0.6916565,-0.6424097,-0.123240195,0.18537918
0.81612,0.7477699,0.7881277,0.7844705,-0.2657779,-0.40076017,-0.5190714,0.08448229,-0.999997,-0.99999976,-0.4351416,-0.44853142,-0.72663134,-0.7743768,-0.54478914,-0.48712197,-0.5926954,-0.5527246,-0.13375215,0.0019781531
0.37960136,0.72563183,0.79762375,0.823634,-0.28358307,-0.10076089,-0.5502097,-0.012934652,-0.9999907,-0.9999991,-0.1904759,-0.043903157,-0.7708824,-0.7715584,-0.38337243,-0.279962,-0.24448232,-0.17136748,-0.16093302,-0.07494358
0.6786983,0.78380084,0.8024633,0.8316202,-0.2818874,-0.30306587,-0.5043519,0.28015208,-1.0,-1.0,-0.2678591,0.15568806,-0.7573364,-0.77755433,-0.36726862,-0.31372613,-0.12608801,-0.08529923,-0.14286426,0.021917192
0.09447789,0.7818113,0.79353935,0.8019348,-0.2881851,-0.4481727,-0.5069562,0.09365657,-1.0,-1.0,-0.44799274,-0.43542627,-0.76444805,-0.76310176,-0.5938525,-0.54177547,-0.56175655,-0.5153341,-0.14849968,0.07416613
-0.5785552,-0.9997416,-0.46758986,-0.4262747,-0.30598795,-0.5917731,-0.07294981,-0.5729049,0.99999994,1.0,-0.473764,-0.5143448,-0.5316717,-0.1905949,-0.31333536,-0.51085675,-0.61459696,-0.5527044,-0.103444524,-0.34279627
-0.14459161,0.7420236,0.829655,0.79077584,-0.31261978,-0.16874827,-0.5221888,0.05837719,-0.9999911,-0.9999996,-0.27082077,0.0032722412,-0.76164854,-0.77218413,-0.3825956,-0.28640357,-0.197555,-0.13560772,-0.16781138,0.040428307
0.38075325,0.7141481,0.77808964,0.82854694,-0.29463848,-0.57558876,-0.5215223,-0.084341675,-0.9999982,-0.9999998,-0.54386306,-0.6478454,-0.6917799,-0.7694889,-0.4598083,-0.65167075,-0.66890305,-0.6496725,-0.13233474,-0.026158642
0.9999662,0.74963224,0.30400622,0.27639857,-0.19964412,0.94473606,-0.25625715,0.25578123,0.86493635,0.94180816,0.6204771,0.9997885,-0.44789925,-0.7778213,0.33902037,0.40293774,0.99845535,0.9990855,-0.026513092,-0.4451572
-0.22499526,0.80312914,0.7667256,0.7884223,-0.28297132,-0.6620339,-0.5165118,0.7207796,-1.0,-1.0,-0.62944007,-0.7068661,-0.74524343,-0.73754066,-0.7871858,-0.74015355,-0.76489234,-0.7414517,-0.12882845,0.3384797
0.99906296,0.80180633,0.85044736,0.78487235,-0.25639924,0.758789,-0.54983914,0.7014091,-0.9999987,-0.9999997,0.42002407,0.999998,-0.7386586,-0.8233864,0.06669976,0.120593265,0.9999409,0.9999726,-0.092033684,0.046512797
0.5868901,0.76723546,0.78403413,0.83287835,-0.2798868,-0.6760084,-0.52595365,0.21476988,-1.0,-1.0,-0.6464609,-0.80013573,-0.76357293,-0.7676971,-0.819337,-0.7698919,-0.84498364,-0.8040964,-0.13531312,0.029550236
0.24886683,0.7465734,0.80760634,0.80900156,-0.29888827,-0.50208336,-0.521558,0.08118509,-0.99999994,-1.0,-0.5100718,-0.60823864,-0.78535825,-0.76857686,-0.6164434,-0.59057325,-0.69980973,-0.6775021,-0.14218077,0.102000386
0.5373782,0.6797483,-0.339843,-0.39956775,-0.29256913,-0.5115854,-0.21558422,-0.5508328,0.99999994,1.0,-0.5134215,-0.5233959,0.99127114,-0.907292,-0.5943457,-0.5613539,-0.42211956,-0.57358783,-0.112121455,-0.4074172
-0.8008446,0.7335285,-0.30317634,-0.4142244,-0.28752425,-0.53899455,-0.30184212,-0.60593945,0.99999994,1.0,-0.52862054,-0.5520933,0.9290806,0.77505344,-0.697487,-0.54164135,-0.51345855,-0.5002239,-0.11493856,-0.36808163
0.99334407,0.74614644,0.8515058,0.6082606,-0.26404336,0.91026354,-0.5030072,0.23359945,-0.9885448,-0.9878023,0.68040544,1.0,-0.7558634,-0.74639255,0.20273733,0.52569014,0.9999982,0.9999995,-0.16705188,-0.26471853
-0.53547925,0.7603297,0.84856254,0.8527451,-0.2921958,-0.2153357,-0.54555184,0.16398548,-0.99999774,-0.99999994,-0.30045503,-0.03547602,-0.79145813,-0.789682,-0.44008532,-0.35605988,-0.27429467,-0.23101515,-0.14869732,0.11906697
0.91723174,0.76339245,0.83123153,0.83211714,-0.2743623,-0.15230364,-0.5535263,0.12932222,-0.9999562,-0.9999967,-0.27550855,-0.14868318,-0.74057245,-0.77615404,-0.36407843,-0.33764017,-0.43098795,-0.3375604,-0.13275145,0.09543409
0.97862744,0.78216344,0.8383426,0.82281435,-0.28518,-0.42282626,-0.47713098,0.30796328,-1.0,-1.0,-0.42109466,-0.62658495,-0.73547995,-0.7175787,-0.5492452,-0.5367788,-0.7283661,-0.67250574,-0.1475939,0.14764515
0.890552,0.79972756,0.7874051,0.7719988,-0.26560152,0.47349212,-0.5139877,0.50604177,-1.0,-1.0,0.15628171,-0.43841553,-0.75618917,-0.7241566,-0.18625809,0.010974745,-0.5484296,-0.5242805,-0.15194476,0.092699066
0.9972015,0.7417089,0.8329797,0.8086335,-0.2635856,0.6508753,-0.5268037,0.72309226,-0.9999557,-0.99999183,0.40933797,0.99999845,-0.76736414,-0.8121474,0.29360667,0.1692399,0.9999526,0.9999752,-0.10607381,-0.1384973
