id,sttl,ct_state_ttl,state,dload,ct_dst_sport_ltm,dmean,rate,swin,dwin,ct_src_dport_ltm,ct_dst_src_ltm,stcpb,dtcpb,ct_src_ltm,ct_dst_ltm,ct_srv_src,ct_srv_dst,is_sm_ips_ports,sload,label
98120.3,252.27678,1.1861489,2.0738015,149504.86,0.79630214,82.65794,-3377.2036,243.258,241.8998,2.5401664,4.419355,1.8609965e+09,2.3228595e+09,1.3193783,3.4435596,5.7516103,5.1322327,0.0045692306,2.3657618e+07,0
128742.25,258.71957,1.9847461,2.9962816,-29929.176,2.6858335,2.2004206,81725.266,-10.743318,-11.872399,2.4182549,7.1546583,-4.0080076e+07,-7.697424e+07,2.6127615,2.8286555,5.384709,6.1449957,-0.0030377598,8.460707e+07,1
119493.35,76.81906,1.0071352,2.0847723,-165542.48,0.38539603,141.32701,-3406.4614,243.258,241.8998,-0.06474388,1.0665268,2.1581256e+09,1.7334143e+09,-0.48564395,1.8288126,0.08656565,0.3600334,0.0025093195,496937.2,0
129854.82,255.86047,1.7941191,2.8783612,-65679.555,1.9764841,1.2838405,91751.39,-6.5234995,2.9509037,1.6078352,7.0671897,-2.8108618e+07,4.9349348e+07,3.0750039,2.045971,6.6766486,6.045756,0.0021790958,5.6421964e+07,0
138206.12,202.99419,1.1078244,2.006333,163244.64,0.41100004,66.92388,-18641.21,243.258,241.8998,1.4033045,0.757922,2.324453e+09,1.9824297e+09,0.6868686,4.2648726,-0.21488318,-0.03495944,-0.0018297097,2.4787846e+07,0
60408.906,249.9596,1.031567,1.9929683,49790.574,1.1166666,59.749187,-3614.9146,243.25015,241.84314,1.7142543,3.3735645,5.86756e+08,1.6274121e+09,2.2270641,1.9056988,4.726543,3.8339984,-0.00014869668,7.411405e+06,0
75552.78,265.16412,1.0980064,2.0596523,25166.137,1.0364292,65.89534,-267.45352,243.258,241.8998,2.27919,2.51557,2.3119654e+09,1.3920408e+09,1.5401095,1.6187487,3.7590783,3.3542206,0.00214077,6.968953e+06,0
137506.14,193.1831,1.0620017,2.0906627,82919.945,0.86586815,175.35909,-1428.5316,243.258,241.8998,2.561293,1.3044518,4.671656e+08,2.3150188e+09,4.4537525,1.396575,4.747948,2.2491772,-2.7267119e-05,9.655253e+06,0
136360.16,265.59686,1.9919567,3.038135,-230859.3,1.6800935,0.28762472,113906.05,-10.539277,-10.981034,3.0880213,4.3483768,-9.459658e+06,-1.0432752e+08,3.6388464,2.574781,4.6992135,5.019358,-0.0006053018,8.904879e+07,1
39743.77,259.28278,1.0518584,2.1003082,-77476.62,0.8142498,67.1865,4456.2964,243.258,241.8998,1.5709132,1.7917799,1.9834547e+09,1.0847237e+09,1.3660825,1.8417835,3.0572712,2.715284,0.00093892135,3.3551052e+06,0
117263.914,254.81845,1.9739782,2.9177797,25.449188,2.3939805,12.254253,259552.3,-10.288148,0.77358127,1.8164035,5.842929,7.77278e+07,1.9733302e+08,2.234983,2.2187421,8.266987,6.5704064,0.010017797,2.3690995e+08,1
75080.81,264.10938,1.0521567,2.0000663,106250.51,0.5780502,41.798008,-5439.719,243.258,241.89978,1.5038131,1.7406143,2.223457e+09,6.942389e+08,1.629897,1.3026991,3.2635925,2.8332217,0.0014769855,7.208177e+06,0
137498.1,252.18347,2.0719106,3.0946977,-113358.12,2.03835,-8.628101,175912.02,-10.743295,-11.87198,1.5459038,8.272519,-5.1851276e+07,-3.6823772e+07,2.8710046,2.0477643,6.12393,7.004993,-0.0052261353,9.747749e+07,1
104197.21,113.9378,1.0298071,2.0576708,-83103.055,0.9302822,164.1032,11214.789,243.258,241.89978,1.7433325,0.94151527,1.7769773e+09,7.820557e+08,1.9814209,1.0333204,2.492603,1.6285356,0.00012184694,-2.5440788e+06,0
136260.25,246.01677,2.0654175,3.0897057,-272228.94,8.655355,-13.724552,83194.44,-10.743325,-11.872544,9.3240595,8.061095,-6.792903e+07,-1.2819152e+08,13.2806,9.562556,7.0811863,7.912758,-0.0022979004,1.6399205e+07,1
58702.92,258.24896,1.0396124,2.0319872,82227.01,1.0354619,44.416317,-4020.3286,243.25786,241.89761,1.519416,3.181556,4.8281718e+08,1.425219e+09,1.9293498,1.2789288,4.2258687,3.272219,0.0005377644,4.638305e+06,0
128011.086,81.972435,1.2351207,2.1118329,-384568.7,2.0456796,151.95013,-6476.805,220.91081,241.63072,5.086329,17.150814,6.2538534e+08,-2.0223018e+08,4.085309,7.4446807,16.87189,17.194086,-0.0038190575,2.4409478e+07,0
130469.38,251.5069,1.6661034,2.7721,-6655.926,1.2095275,8.889507,40754.008,30.715569,40.654762,1.4256397,3.2888906,2.1133157e+08,1.013343e+08,3.4503062,1.2770524,3.173497,2.5944302,-0.002960337,4.1476344e+07,0
38254.61,76.60728,0.4749261,1.5859288,-161013.05,-1.3237541,382.4834,-40880.33,243.258,241.8998,7.2337523,-0.17798871,8.356572e+08,9.019194e+08,14.125634,-1.0470681,1.5494562,3.824324,-0.0024717615,-7.596703e+06,1
121323.99,257.99832,2.046293,3.0443377,-79034.12,1.4770625,-17.090687,134147.23,-10.743272,-11.872163,0.70505726,2.269296,-4.52619e+07,-3.3843548e+07,1.3781437,0.9244705,2.283355,2.558202,-0.0037884486,9.873788e+07,1
135880.53,260.40286,1.1594048,2.05871,-119722.87,1.5263414,38.824192,11920.445,243.258,241.8998,2.4104831,3.5260437,2.305182e+09,2.3226035e+09,3.6374047,6.2469945,4.572226,4.564369,0.007386407,-1.6378228e+06,0
105981.13,246.82283,2.0201192,3.0779748,-99964.18,3.30346,-1.549976,188849.47,-10.743325,-11.872544,2.7138917,9.477614,-3.3324298e+07,-1.2777488e+08,3.8366866,3.779321,7.7080374,8.148982,-0.0015012285,8.828449e+07,1
89402.46,249.17694,1.0086541,2.0205443,37041.387,1.3993943,54.514233,7130.9526,243.25218,241.8695,1.9276122,2.8018005,4.994141e+08,6.7405165e+08,2.2974725,1.6433344,3.953303,3.4107325,0.00017021984,-1.6175908e+06,1
134503.55,255.18806,2.0885553,3.109171,-260459.11,6.5234885,-4.393924,6508.6245,-10.743325,-11.872544,4.999273,3.020161,4.3738228e+07,-5.0054812e+07,8.9200945,4.769395,2.889166,2.4792922,0.000387923,-430870.8,0
138159.38,257.8418,2.0122895,3.0566978,-111972.99,2.633445,6.6626554,73384.3,-10.743218,-11.871736,1.838648,4.036266,-5.8845324e+07,-8.736848e+07,3.1986992,2.601502,2.732403,3.1545694,0.0025846616,9.67084e+07,1
49782.78,236.10933,2.0634255,3.0282702,-69959.18,1.7753847,-6.0990176,76351.93,-10.743325,-11.872544,1.5729557,5.866889,560117.94,-8.803491e+07,2.7101016,1.7734046,4.690853,4.542974,-0.0019984988,7.498637e+07,0
38850.59,228.64917,2.1257665,2.9565928,74652.195,1.4943402,-7.4364657,141558.16,-10.743325,-11.872544,1.3742172,3.7697923,-1.5431754e+07,-1.1059894e+08,6.3959646,1.7885795,2.6923926,2.3843505,-0.0029863582,4.7174628e+07,0
96071.44,257.37018,1.1353498,2.2142332,25004.074,0.9567531,61.46238,16481.406,237.56693,230.8478,1.8147992,2.70621,4.1091693e+08,6.712499e+08,3.261215,1.0263352,4.2771177,3.4762628,-0.005365936,1.889425e+07,0
67101.23,244.9765,2.0794873,3.01634,51064.2,0.13727407,-20.50951,260397.03,-10.743325,-11.872544,-0.76701534,0.75605136,-8.6132616e+07,-7.531299e+07,4.4670925,0.1576138,0.73449963,0.649588,0.0016934705,2.3990896e+08,1
116684.19,248.94621,2.0450437,3.0168498,-36694.676,1.90219,-12.1200905,211772.28,-10.743325,-11.872544,1.4671866,5.637035,-4.5898828e+07,-1.2068842e+08,3.524347,1.9753084,5.4160895,5.1766143,-0.004449114,1.2450757e+08,1
137157.14,263.84238,2.0048914,2.9881876,-50487.176,0.97578174,-0.72492564,81776.72,-10.036515,-10.078271,0.79038537,2.824941,-1.2195301e+06,-3.2509724e+07,1.5248688,0.84168535,2.1612723,1.3486127,0.0009738981,7.383432e+07,1
